person_id,display_name,betweenness,graph_degree,events_attended,total_participations,zograf,roerich,balance,series_attended
PERS_7700f517,Д. О. Парамонов,0.0,10,1,1,1,0,1.0,zograf_only
PERS_7d6f456c,Мотылёва Вера Леонидовна,0.0,59,1,1,1,0,1.0,zograf_only
PERS_7efcddc6,Н.А. Брылёва,0.0,27,1,1,0,1,-1.0,roerich_only
PERS_856eb5c6,Vishnu Shukla,0.0,45,1,1,1,0,1.0,zograf_only
PERS_874cbfb7,Шарапова А. В.,0.0,44,1,1,1,0,1.0,zograf_only
PERS_88e5311f,М.В. Босхомджиев,0.0,35,1,1,0,1,-1.0,roerich_only
PERS_900efc73,Зевацкий Тимофей Юрьевич,0.0,55,1,1,1,0,1.0,zograf_only
PERS_92f41884,Касым Софья Васильевна,0.0,59,1,1,1,0,1.0,zograf_only
PERS_9366fe2c,Крыштоп Людмила Эдуардовна,0.0,45,1,1,1,0,1.0,zograf_only
PERS_936e1165,Файбушевич Светлана Ивановна,0.0,59,1,1,1,0,1.0,zograf_only
PERS_94aa5d0a,Г.И. Чернавин,0.0,35,1,1,0,1,-1.0,roerich_only
PERS_94f33410,Застрожнова Евгения Григорьевна,0.0,59,1,1,1,0,1.0,zograf_only
PERS_96b8b195,М. Н. Боголюбов,0.0,24,1,1,1,0,1.0,zograf_only
PERS_9bf51055,В. М. Шелкович,0.0,24,1,1,1,0,1.0,zograf_only
PERS_9ddf9210,С.П. Нестеркин,0.0,35,1,1,0,1,-1.0,roerich_only
PERS_a0f3d86d,Сергеева Варвара Алексеевна,0.0,59,1,1,1,0,1.0,zograf_only
PERS_a1484b38,Кавалевская А. П.,0.0,44,1,1,1,0,1.0,zograf_only
PERS_a638a4b3,Федорова Наталья Леонидовна,0.0,59,1,1,1,0,1.0,zograf_only
PERS_a8983673,Н.Л. Вигель,0.0,27,1,1,0,1,-1.0,roerich_only
PERS_a901d460,М. А. Фаградян,0.0,46,1,1,1,0,1.0,zograf_only
PERS_af811d47,Корнеева Татьяна Георгиевна,0.0,45,1,1,1,0,1.0,zograf_only
PERS_b024f2dd,М. Н. Русанов,0.0,24,1,1,1,0,1.0,zograf_only
PERS_b5dd77b1,А.В. Мрачковская,0.0,35,1,1,0,1,-1.0,roerich_only
PERS_bd77e495,Г.Б. Корнеев,0.0,35,1,1,0,1,-1.0,roerich_only
PERS_bdaaf440,Е.В.Слинько,0.0,10,1,1,1,0,1.0,zograf_only
PERS_c2ffc606,Драчук Андрей Олегович,0.0,59,1,1,1,0,1.0,zograf_only
PERS_c582889e,И.Б. Иткин,0.0,35,1,1,0,1,-1.0,roerich_only
PERS_cac87738,Н. В. Гузеватая,0.0,46,1,1,1,0,1.0,zograf_only
PERS_cb967ae4,Harjender Singh Chaudhary,0.0,59,1,1,1,0,1.0,zograf_only
PERS_ce100d3f,Мария Шилинскене,0.0,36,1,1,1,0,1.0,zograf_only
PERS_d01427ca,Бещук Юлия Владимировна,0.0,59,1,1,1,0,1.0,zograf_only
PERS_d3cb634e,Ю.С. Атманова,0.0,28,1,1,0,1,-1.0,roerich_only
PERS_de59a2bc,Г.В. Шарыгин,0.0,29,1,1,0,1,-1.0,roerich_only
PERS_dfaf6803,Я.А. Борисов,0.0,27,1,1,0,1,-1.0,roerich_only
PERS_e1d622e5,С.Ф. Мажитов,0.0,29,1,1,0,1,-1.0,roerich_only
PERS_e30ad8b7,Д.С. Гавриков,0.0,36,1,1,1,0,1.0,zograf_only
PERS_e4aab278,Возчиков Дмитрий Викторович,0.0,59,1,1,1,0,1.0,zograf_only
PERS_e96139bd,Коробов Владимир Борисович,0.0,45,1,1,1,0,1.0,zograf_only
PERS_ecdfe667,Е.О. Новосёлова,0.0,16,1,1,0,1,-1.0,roerich_only
PERS_ed83f502,Т.П. Селиванова,0.0,28,1,1,0,1,-1.0,roerich_only
PERS_ee3448c3,В.В. Деменова,0.0,29,1,1,0,1,-1.0,roerich_only
PERS_f1a308b7,Абинякин Владимир Александрович,0.0,59,1,1,1,0,1.0,zograf_only
PERS_f1f2471d,М.М. Игнатова,0.0,35,1,1,0,1,-1.0,roerich_only
PERS_f5a69b65,Кройцер Светлана Александровна,0.0,55,1,1,1,0,1.0,zograf_only
PERS_f619aeed,А.Д. Цендина,0.0,35,1,1,0,1,-1.0,roerich_only
PERS_f82b6a8e,Сенина Наталья Викторовна,0.0,55,1,1,1,0,1.0,zograf_only
PERS_fb73fb38,Кешарпу Екатерина Витальевна,0.0,59,1,1,1,0,1.0,zograf_only
PERS_fc976255,Э.Н. Комаров,0.0,29,1,1,0,1,-1.0,roerich_only
PERS_fe03c926,И.А. Карышева,0.0,28,1,1,0,1,-1.0,roerich_only
