topic,message_count,thread_count,author_count,first_year,last_year,median_thread_length,top_list_function,top_list_function_count
General scholarly discussion,45544,17531,2794,1990,2026,5.0,general discussion,41546
Announcements and events,2792,2436,791,1990,2026,1.0,announcement/event,1962
Bibliographic requests,2592,1464,696,1990,2026,3.0,bibliographic request,1362
History and culture,2587,1579,856,1991,2026,4.0,general discussion,2464
Digital resources and tools,2447,1436,645,1990,2026,3.0,digital resource/tool,2408
Texts and philology,1953,1038,621,1991,2026,4.0,philological discussion,1014
Veda and ritual,1394,783,490,1991,2026,4.0,general discussion,1186
Grammar and linguistics,1001,463,347,1991,2025,7.0,philological discussion,916
Manuscripts and epigraphy,991,462,344,1991,2026,5.0,general discussion,569
Buddhism and Jainism,507,340,262,1992,2026,3.0,general discussion,434
List administration,190,146,112,1991,2026,2.0,list administration,190
Teaching and pedagogy,114,76,81,1991,2020,3.0,general discussion,103
